               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.76477,               1.659,              1.5594,             0.96323,             0.98233,             0.98885,              0.9566,                   0,                   0,                   0,            0.070577,           0.0032692,           0.0032692
                   1,             0.51063,             0.76388,              1.3699,             0.97283,                   1,             0.99413,             0.87016,                   0,                   0,                   0,            0.040446,           0.0064718,           0.0064718
                   2,             0.55606,             0.85453,              1.3927,             0.89888,                   1,             0.94194,             0.81074,                   0,                   0,                   0,            0.010183,           0.0095424,           0.0095424
                   3,             0.63785,             0.87966,              1.4376,             0.89715,              0.9875,             0.93751,             0.89286,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.73725,             0.79052,              1.4629,             0.89192,              0.9625,             0.95969,             0.76965,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.74009,             0.72462,                1.48,             0.98762,             0.99715,             0.99475,             0.91871,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.70949,              0.6961,              1.4471,             0.92958,             0.99001,             0.99086,             0.90972,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.68968,             0.66374,               1.442,             0.95099,             0.97031,             0.98843,             0.93333,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.70882,             0.69916,              1.4914,             0.93142,               0.925,             0.97988,             0.87191,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.70096,             0.65026,              1.4433,             0.89348,              0.9437,             0.97888,             0.88075,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.68694,             0.64858,              1.4437,             0.89941,                 0.9,             0.97309,             0.87337,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.64575,             0.63523,              1.4435,             0.97838,                   1,             0.99463,             0.94065,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.63784,             0.61797,              1.4115,             0.92006,                0.95,             0.98645,             0.87825,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.65208,             0.58018,              1.4387,             0.97479,             0.96672,             0.99348,             0.89716,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.60943,             0.56255,              1.3888,              0.9928,                   1,               0.995,             0.95819,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.60773,              0.6102,              1.3938,             0.98759,             0.99447,             0.99488,             0.93828,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.59747,             0.55781,              1.3918,             0.99477,                   1,               0.995,              0.9603,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.60282,             0.55831,              1.3968,             0.96142,              0.9875,             0.99268,             0.93621,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.59215,             0.53675,               1.399,             0.95443,              0.9875,             0.98958,              0.9439,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.56759,             0.53797,              1.3479,             0.98328,                   1,             0.99414,             0.95654,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.57079,             0.53124,              1.3747,             0.98727,             0.96932,             0.99439,             0.93495,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.53476,             0.51766,              1.3362,             0.99771,                   1,               0.995,             0.97186,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.52338,             0.50519,              1.3374,                   1,             0.99455,               0.995,             0.96985,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.52366,             0.50503,               1.322,              0.9767,                   1,             0.99352,             0.95543,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.52346,             0.49496,              1.3503,             0.99879,                   1,               0.995,              0.9745,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  25,             0.49986,             0.49922,              1.3333,             0.99891,                   1,               0.995,             0.98004,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.49341,             0.49373,              1.3192,             0.97434,              0.9875,              0.9894,             0.97471,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.50686,             0.48137,               1.333,             0.99166,                   1,               0.995,             0.96512,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.48953,             0.44919,              1.3029,             0.99162,                   1,               0.995,             0.96911,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.48623,             0.48582,              1.3023,             0.99899,                   1,               0.995,             0.96891,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.45512,             0.42569,              1.2896,             0.99896,                   1,               0.995,             0.96194,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.46633,             0.44617,              1.3222,             0.99573,                   1,               0.995,              0.9614,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.46653,             0.43858,               1.305,             0.99921,                   1,               0.995,             0.96167,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.46706,              0.4168,              1.3139,             0.99891,                   1,               0.995,             0.95925,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.44003,             0.40751,              1.2793,             0.99915,                   1,               0.995,             0.96989,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  35,              0.2634,             0.25785,              1.2213,              0.9992,                   1,               0.995,             0.97796,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.25118,              0.2228,              1.2277,             0.99932,                   1,               0.995,             0.98731,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  37,             0.26445,             0.23382,              1.2446,             0.99677,                   1,               0.995,             0.99213,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.23936,             0.21829,              1.1993,             0.99682,                   1,               0.995,              0.9885,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.22962,             0.20838,               1.213,             0.99634,                   1,               0.995,             0.98185,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.23727,             0.20832,              1.2133,             0.99915,                   1,               0.995,             0.98594,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.21842,             0.19447,              1.2189,             0.99389,                   1,               0.995,             0.98711,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.21337,             0.19439,               1.209,                   1,             0.99793,               0.995,             0.98763,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.20448,             0.18623,              1.2289,                   1,             0.99969,               0.995,             0.97678,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.20388,             0.18533,              1.2086,             0.99924,                   1,               0.995,              0.9854,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              0.1933,             0.17033,              1.2013,             0.99969,                   1,               0.995,             0.98239,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.19187,             0.17235,              1.2295,             0.99934,                   1,               0.995,             0.98296,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.18592,             0.15988,              1.1826,             0.99931,                   1,               0.995,             0.99161,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.15723,             0.15092,              1.1869,             0.99932,                   1,               0.995,             0.98626,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              0.1617,              0.1433,              1.1576,             0.99935,                   1,               0.995,             0.98864,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
